Control_Family,Control_ID,Control_Name,Control_Statement,Discussion,Related_Controls,Privacy_Baseline,Security_Baseline_Low,Security_Baseline_Moderate,Security_Baseline_High,Reference,Is_Enhancement,Base_Control_ID
AC,AC-01,POLICY AND PROCEDURES,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the access control policy and the associated access controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c.  Review and update the current access control:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
","Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","IA-01, PM-09, PM-24, PS-08, SI-02, SI-12",x,x,x,x,"IR 7874: Hu VC, Scarfone KA (2012) Guidelines for Access Control System Evaluation Metrics. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Interagency or Internal Report (IR) 7874.",False,AC-01
AC,AC-02,ACCOUNT MANAGEMENT,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
","Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts.Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability.Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training.","AC-03, AC-05, AC-06, AC-17, AC-18, AC-20, AC-24, AU-02, AU-12, CM-05, IA-02, IA-04, IA-05, IA-08, MA-03, MA-05, PE-02, PL-04, PS-02, PS-04, PS-05, PS-07, PT-02, PT-03, SC-07, SC-12, SC-13, SC-37",,x,x,x,"SP 800-162: Hu VC, Ferraiolo DF, Kuhn R, Schnitzer A, Sandlin K, Miller R, Scarfone KA (2014) Guide to Attribute Based Access Control (ABAC) Definition and Considerations. (National Institute of Standards and Technology, Gaithersburg, MD), NIST Special Publication (SP) 800-162, Includes updates as of August 2, 2019.",False,AC-02
AC,AC-02(01),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,"Support the management of system accounts using [Assignment: organization-defined automated mechanisms].
","Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.",,,,x,x,,True,AC-02
AC,AC-02(02),AUTOMATED TEMPORARY AND EMERGENCY ACCOUNT MANAGEMENT,"Automatically [Selection (one): remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].
",Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.,,,,x,x,,True,AC-02
AC,AC-02(03),DISABLE ACCOUNTS,"Disable accounts within [Assignment: organization-defined time period] when the accounts:
a.  Have expired;
b.  Are no longer associated with a user or individual;
c.  Are in violation of organizational policy; or
d.  Have been inactive for [Assignment: organization-defined time period].
","Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.",,,,x,x,,True,AC-02
AC,AC-02(04),AUTOMATED AUDIT ACTIONS,"Automatically audit account creation, modification, enabling, disabling, and removal actions.
","Account management audit records are defined in accordance with AU-02 and reviewed, analyzed, and reported in accordance with AU-06.","AU-02, AU-06",,,x,x,,True,AC-02
AC,AC-02(05),INACTIVITY LOGOUT,"Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].
",Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11.,AC-11,,,x,x,,True,AC-02
AC,AC-02(06),DYNAMIC PRIVILEGE MANAGEMENT,"Implement [Assignment: organization-defined dynamic privilege management capabilities].
","In contrast to access control approaches that employ static accounts and predefined user privileges, dynamic access control approaches rely on runtime access control decisions facilitated by dynamic privilege management, such as attribute-based access control. While user identities remain relatively constant over time, user privileges typically change more frequently based on ongoing mission or business requirements and the operational needs of organizations. An example of dynamic privilege management is the immediate revocation of privileges from users as opposed to requiring that users terminate and restart their sessions to reflect changes in privileges. Dynamic privilege management can also include mechanisms that change user privileges based on dynamic rules as opposed to editing specific user profiles. Examples include automatic adjustments of user privileges if they are operating out of their normal work times, if their job function or assignment changes, or if systems are under duress or in emergency situations. Dynamic privilege management includes the effects of privilege changes, for example, when there are changes to encryption keys used for communications.",AC-16,,,,,,True,AC-02
AC,AC-02(07),PRIVILEGED USER ACCOUNTS,"a.  Establish and administer privileged user accounts in accordance with [Selection (one): a role-based access scheme; an attribute-based access scheme];
b.  Monitor privileged role or attribute assignments;
c.  Monitor changes to roles or attributes; and
d.  Revoke access when privileged role or attribute assignments are no longer appropriate.
","Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes.",,,,,,,True,AC-02
AC,AC-02(08),DYNAMIC ACCOUNT MANAGEMENT,"Create, activate, manage, and deactivate [Assignment: organization-defined system accounts] dynamically.
","Approaches for dynamically creating, activating, managing, and deactivating system accounts rely on automatically provisioning the accounts at runtime for entities that were previously unknown. Organizations plan for the dynamic management, creation, activation, and deactivation of system accounts by establishing trust relationships, business rules, and mechanisms with appropriate authorities to validate related authorizations and privileges.",AC-16,,,,,,True,AC-02
